Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1887,10,27.8,26,Y
IDCJAC0005,086071,1887,11,31.8,25,Y
IDCJAC0005,086071,1887,12,34.7,13,Y
IDCJAC0005,086071,1888,01,40.0,15,Y
IDCJAC0005,086071,1888,02,36.2,12,Y
IDCJAC0005,086071,1888,03,34.4,28,Y
IDCJAC0005,086071,1888,04,31.6,06,Y
IDCJAC0005,086071,1888,05,25.6,02,Y
IDCJAC0005,086071,1888,06,19.3,29,Y
IDCJAC0005,086071,1888,07,17.9,01,Y
IDCJAC0005,086071,1888,08,19.5,30,Y
IDCJAC0005,086071,1888,09,26.7,14,Y
IDCJAC0005,086071,1888,10,30.0,13,Y
IDCJAC0005,086071,1888,11,38.9,23,Y
IDCJAC0005,086071,1888,12,35.7,26,Y
IDCJAC0005,086071,1889,01,37.3,23,Y
IDCJAC0005,086071,1889,02,35.5,13,Y
IDCJAC0005,086071,1889,03,35.5,16,Y
IDCJAC0005,086071,1889,04,31.1,02,Y
IDCJAC0005,086071,1889,05,25.6,01,Y
IDCJAC0005,086071,1889,06,18.9,02,Y
IDCJAC0005,086071,1889,07,16.7,31,Y
IDCJAC0005,086071,1889,08,20.0,28,Y
IDCJAC0005,086071,1889,09,23.6,26,Y
IDCJAC0005,086071,1889,10,29.1,14,Y
IDCJAC0005,086071,1889,11,34.0,20,Y
IDCJAC0005,086071,1889,12,37.7,26,Y
IDCJAC0005,086071,1890,01,38.6,25,Y
IDCJAC0005,086071,1890,02,39.7,06,Y
IDCJAC0005,086071,1890,03,34.7,16,Y
IDCJAC0005,086071,1890,04,30.8,07,Y
IDCJAC0005,086071,1890,05,23.1,14,Y
IDCJAC0005,086071,1890,06,18.9,05,Y
IDCJAC0005,086071,1890,07,16.9,18,Y
IDCJAC0005,086071,1890,08,18.7,28,Y
IDCJAC0005,086071,1890,09,23.8,23,Y
IDCJAC0005,086071,1890,10,24.4,07,Y
IDCJAC0005,086071,1890,11,34.7,06,Y
IDCJAC0005,086071,1890,12,31.6,05,Y
IDCJAC0005,086071,1891,01,39.4,04,Y
IDCJAC0005,086071,1891,02,38.1,14,Y
IDCJAC0005,086071,1891,03,37.5,07,Y
IDCJAC0005,086071,1891,04,28.1,06,Y
IDCJAC0005,086071,1891,05,22.6,05,Y
IDCJAC0005,086071,1891,06,15.8,23,Y
IDCJAC0005,086071,1891,07,16.3,08,Y
IDCJAC0005,086071,1891,08,21.2,31,Y
IDCJAC0005,086071,1891,09,25.1,30,Y
IDCJAC0005,086071,1891,10,29.0,24,Y
IDCJAC0005,086071,1891,11,36.1,26,Y
IDCJAC0005,086071,1891,12,38.4,22,Y
IDCJAC0005,086071,1892,01,37.5,22,Y
IDCJAC0005,086071,1892,02,35.8,22,Y
IDCJAC0005,086071,1892,03,40.0,08,Y
IDCJAC0005,086071,1892,04,29.6,02,Y
IDCJAC0005,086071,1892,05,21.2,15,Y
IDCJAC0005,086071,1892,06,17.5,07,Y
IDCJAC0005,086071,1892,07,16.9,31,Y
IDCJAC0005,086071,1892,08,19.3,20,Y
IDCJAC0005,086071,1892,09,21.7,13,Y
IDCJAC0005,086071,1892,10,25.9,11,Y
IDCJAC0005,086071,1892,11,32.7,19,Y
